ecg,gsr,temp,hr,spo2,timest,second
1.7302,0.4936,31.3,0,0,297287,0
1.696,0.4985,31.3,0,0,297291,0.003
1.6569,0.4985,31.28,0,0,297294,0.006
1.6569,0.4936,31.28,0,0,297297,0.009
1.5982,0.4985,31.28,0,0,297300,0.012
1.5738,0.4985,31.33,0,0,297304,0.015
1.5885,0.4936,31.28,0,0,297308,0.018
1.5445,0.4985,31.3,0,0,297311,0.021
1.5347,0.4985,31.33,0,0,297314,0.024
1.5347,0.4936,31.28,0,0,297317,0.027
1.5347,0.4985,31.3,0,0,297320,0.03
1.5396,0.4985,31.33,0,0,297324,0.033
1.5689,0.4936,31.28,0,0,297327,0.036
1.5494,0.4985,31.28,0,0,297330,0.039
1.5591,0.4936,31.25,0,0,297333,0.042
1.5836,0.4936,31.28,0,0,297336,0.045
1.5787,0.4936,31.3,0,0,297340,0.048
1.5982,0.4985,31.28,0,0,297344,0.051
1.6276,0.4936,31.28,0,0,297347,0.054
1.6227,0.4985,31.3,0,0,297350,0.057
1.6325,0.4985,31.28,0,0,297353,0.06
1.6422,0.4985,31.3,0,0,297357,0.063
1.6471,0.4985,31.3,0,0,297360,0.066
1.6618,0.4985,31.25,0,0,297363,0.069
1.6716,0.4888,31.28,0,0,297366,0.072
1.6813,0.4985,31.28,0,0,297369,0.075
1.6911,0.4985,31.28,0,0,297373,0.078
1.7204,0.4839,31.3,0,0,297376,0.081
1.7058,0.4985,31.3,0,0,297379,0.084
1.7107,0.4985,31.3,0,0,297382,0.087
1.7155,0.4985,31.28,0,0,297385,0.09
1.7155,0.4839,31.3,0,0,297390,0.093
1.7253,0.4985,31.28,0,0,297393,0.096
1.7253,0.4985,31.28,0,0,297396,0.099
1.7155,0.4839,31.3,0,0,297399,0.102
1.7253,0.4985,31.3,0,0,297402,0.105
1.7253,0.4985,31.25,0,0,297406,0.108
1.7253,0.4936,31.28,0,0,297409,0.111
1.7204,0.4985,31.3,0,0,297412,0.114
1.7155,0.4985,31.25,0,0,297415,0.117
1.7498,0.5034,31.28,0,0,297418,0.12
1.7204,0.4985,31.28,0,0,297422,0.123
1.7155,0.4936,31.33,0,0,297425,0.126
1.7155,0.4985,31.28,0,0,297428,0.129
